id,domaine,sous_type,niveau_1_5,temps_conseille_sec,mode_reponse,consigne_examinateur,stimulus,choix_A,choix_B,choix_C,choix_D,reponse_attendue,explication_correction,bareme,construct_cible,tags,source_cadre,avertissement
VS-064,Raisonnement visuo-spatial,Pliage mental,3,60,QCM,"Imaginez la feuille quadrillée, le pliage puis le dépliage. Répondez par les coordonnées des trous.","Feuille 6x6. Pli vertical: 1↔6, 2↔5, 3↔4. Trou en (4,5). Après dépliage ?","(4,5) seulement","(3,5) et (4,5)","(4,1) et (4,6)","(4,2) et (4,5)",D,La colonne 5 est miroir de la colonne 2; la ligne ne change pas.,"1 point si réponse exacte, 0 sinon.",Symétrie et imagerie mentale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-065,Raisonnement visuo-spatial,Pliage mental,3,60,QCM,"Imaginez la feuille quadrillée, le pliage puis le dépliage. Répondez par les coordonnées des trous.","Feuille 6x6. Pli horizontal: 1↔6, 2↔5, 3↔4. Trou en (5,4). Après dépliage ?","(5,4) seulement","(2,4) et (5,4)","(5,3) et (5,4)","(1,4) et (6,4)",B,La ligne 5 est miroir de la ligne 2.,"1 point si réponse exacte, 0 sinon.",Symétrie et imagerie mentale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-066,Raisonnement visuo-spatial,Pliage mental,4,60,QCM,"Imaginez la feuille quadrillée, le pliage puis le dépliage. Répondez par les coordonnées des trous.","Feuille 6x6. Pli vertical puis horizontal. Trou en (4,4) sur la feuille pliée. Après dépliage ?","(4,4) seulement","(3,3) et (4,4)","(3,3), (3,4), (4,3), (4,4)","(1,1), (1,6), (6,1), (6,6)",C,"Colonne 4 miroir de 3 et ligne 4 miroir de 3, donc quatre trous centraux.","1 point si réponse exacte, 0 sinon.",Symétrie et imagerie mentale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-067,Raisonnement visuo-spatial,Pliage mental,4,60,QCM,"Imaginez la feuille quadrillée, le pliage puis le dépliage. Répondez par les coordonnées des trous.","Feuille 4x4. Pli vertical. Deux trous sur la feuille pliée: (1,3) et (4,4). Après dépliage ?","(1,2), (1,3), (4,1), (4,4)","(1,3), (4,4) seulement","(1,1), (1,4), (4,1), (4,4)","(2,3), (3,4)",A,Colonne 3 reflète en 2; colonne 4 reflète en 1.,"1 point si réponse exacte, 0 sinon.",Symétrie et imagerie mentale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-068,Raisonnement visuo-spatial,Pliage mental,4,60,QCM,"Imaginez la feuille quadrillée, le pliage puis le dépliage. Répondez par les coordonnées des trous.","Feuille 4x4. Pli horizontal. Deux trous: (3,2) et (4,4). Après dépliage ?","(3,2), (4,4) seulement","(1,2), (2,4), (3,2), (4,4)","(2,1), (3,1), (1,4), (4,4)","(2,2), (3,2), (1,4), (4,4)",D,Ligne 3 reflète en 2; ligne 4 reflète en 1; les colonnes restent identiques.,"1 point si réponse exacte, 0 sinon.",Symétrie et imagerie mentale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-069,Raisonnement visuo-spatial,Pliage mental,3,60,QCM,"Imaginez la feuille quadrillée, le pliage puis le dépliage. Répondez par les coordonnées des trous.","Feuille 8x8. Pli vertical central. Trou en (6,5). Après dépliage ?","(6,5) seulement","(6,4) et (6,5)","(3,5) et (6,5)","(6,1) et (6,8)",B,"Dans 8 colonnes, 5 est miroir de 4.","1 point si réponse exacte, 0 sinon.",Symétrie et imagerie mentale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-070,Raisonnement visuo-spatial,Pliage mental,5,60,QCM,"Imaginez la feuille quadrillée, le pliage puis le dépliage. Répondez par les coordonnées des trous.","Feuille 8x8. Pli vertical puis horizontal. Trou en (5,5). Après dépliage ?","(4,4), (4,5), (5,4), (5,5)","(1,1), (1,8), (8,1), (8,8)","(5,5) seulement","(4,5) et (5,4) seulement",A,Ligne 5 ↔ 4 et colonne 5 ↔ 4: combinaison des deux symétries.,"1 point si réponse exacte, 0 sinon.",Symétrie et imagerie mentale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-071,Raisonnement visuo-spatial,Assemblage de formes,1,55,QCM,Décomposez ou composez mentalement la forme décrite. Choisissez l'option correcte.,Une forme 3x3 occupe toutes les cases sauf le centre. Combien de petites cases la composent ?,6,7,8,9,C,Une grille 3x3 a 9 cases; sans le centre il en reste 8.,"1 point si réponse exacte, 0 sinon.",Composition/décomposition spatiale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-072,Raisonnement visuo-spatial,Assemblage de formes,2,55,QCM,Décomposez ou composez mentalement la forme décrite. Choisissez l'option correcte.,Deux rectangles 1x3 sont assemblés en angle droit en partageant exactement une case d'extrémité. Combien de cases distinctes dans la forme finale ?,5,6,7,4,A,Chaque rectangle contient 3 cases; une case est commune: 3+3-1=5.,"1 point si réponse exacte, 0 sinon.",Composition/décomposition spatiale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-073,Raisonnement visuo-spatial,Assemblage de formes,2,55,QCM,Décomposez ou composez mentalement la forme décrite. Choisissez l'option correcte.,"Dans un carré 4x4, on place un carré 2x2 dans le coin supérieur gauche et un carré 2x2 dans le coin inférieur droit. Combien de cases sont occupées ?",4,6,8,10,C,Les deux carrés 2x2 ne se chevauchent pas: 4+4=8.,"1 point si réponse exacte, 0 sinon.",Composition/décomposition spatiale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-074,Raisonnement visuo-spatial,Assemblage de formes,3,55,QCM,Décomposez ou composez mentalement la forme décrite. Choisissez l'option correcte.,"Une pièce occupe les cases (1,1), (1,2), (2,1), (3,1). Quelle description correspond ?",Une ligne horizontale de 4,Un carré 2x2 plein,Une diagonale,Un L de hauteur 3 avec deux cases en haut,D,"Les trois cases de la colonne 1 et la case (1,2) forment un L.","1 point si réponse exacte, 0 sinon.",Composition/décomposition spatiale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-075,Raisonnement visuo-spatial,Assemblage de formes,2,55,QCM,Décomposez ou composez mentalement la forme décrite. Choisissez l'option correcte.,On veut couvrir un rectangle 2x3 avec des dominos 1x2 sans chevauchement. Combien de dominos faut-il ?,2,3,4,6,B,Le rectangle a 6 cases; chaque domino couvre 2 cases: 6/2=3.,"1 point si réponse exacte, 0 sinon.",Composition/décomposition spatiale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-076,Raisonnement visuo-spatial,Assemblage de formes,4,55,QCM,Décomposez ou composez mentalement la forme décrite. Choisissez l'option correcte.,"Une pièce T dans une grille 3x3 occupe toute la ligne du haut et la case centrale de la ligne du milieu. Après rotation 180°, quelles cases sont occupées ?",Toute la ligne du haut et le centre du milieu,Toute la colonne gauche et le centre,Toute la ligne du bas et la case centrale du milieu,Toute la colonne droite seulement,C,La rotation 180° transforme le T orienté vers le bas en T orienté vers le haut.,"1 point si réponse exacte, 0 sinon.",Composition/décomposition spatiale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-077,Raisonnement visuo-spatial,Assemblage de formes,2,55,QCM,Décomposez ou composez mentalement la forme décrite. Choisissez l'option correcte.,Un rectangle 3x4 est découpé en carrés 1x1. On enlève les quatre coins. Combien de cases restent ?,8,9,10,12,A,3×4=12 cases; 12-4=8.,"1 point si réponse exacte, 0 sinon.",Composition/décomposition spatiale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-078,Raisonnement visuo-spatial,Assemblage de formes,3,55,QCM,Décomposez ou composez mentalement la forme décrite. Choisissez l'option correcte.,"Une forme occupe (1,2), (2,1), (2,2), (2,3), (3,2) dans une grille 3x3. Quelle symétrie possède-t-elle ?",Seulement horizontale,Seulement verticale,Aucune,Horizontale et verticale,D,C'est une croix centrée; elle est symétrique selon les axes horizontal et vertical.,"1 point si réponse exacte, 0 sinon.",Composition/décomposition spatiale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-079,Raisonnement visuo-spatial,Assemblage de formes,3,55,QCM,Décomposez ou composez mentalement la forme décrite. Choisissez l'option correcte.,On assemble deux triangles rectangles identiques par leur hypoténuse. Quelle forme plane peut-on obtenir ?,Toujours un cercle,Un rectangle ou un carré selon les triangles,Une ligne sans surface,Un cube,B,"Deux triangles rectangles congruents peuvent former un rectangle; si les côtés de l'angle droit sont égaux, un carré.","1 point si réponse exacte, 0 sinon.",Composition/décomposition spatiale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
VS-080,Raisonnement visuo-spatial,Assemblage de formes,4,55,QCM,Décomposez ou composez mentalement la forme décrite. Choisissez l'option correcte.,"Une pièce en zigzag occupe (1,1), (1,2), (2,2), (2,3). Sa réflexion gauche/droite dans une grille 3x3 occupe quoi ?","(1,1), (1,2), (2,2), (2,3)","(1,1), (2,1), (2,2), (3,2)","(1,2), (1,3), (2,1), (2,2)","(2,1), (2,2), (3,2), (3,3)",C,"La colonne 1 devient 3, 2 reste 2, 3 devient 1.","1 point si réponse exacte, 0 sinon.",Composition/décomposition spatiale,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-081,Raisonnement fluide,Séries numériques,3,50,QCM,Trouvez la règle de la série puis choisissez le terme suivant.,"3, 6, 11, 18, 27, ?",35,38,40,42,B,"Les écarts sont +3, +5, +7, +9; l'écart suivant est +11, donc 38.","1 point si réponse exacte, 0 sinon.",Induction de règles séquentielles,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-082,Raisonnement fluide,Séries numériques,2,50,QCM,Trouvez la règle de la série puis choisissez le terme suivant.,"2, 6, 12, 20, 30, ?",36,40,41,42,D,"Termes n(n+1): 1×2, 2×3, ..., 6×7=42.","1 point si réponse exacte, 0 sinon.",Induction de règles séquentielles,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-083,Raisonnement fluide,Séries numériques,1,50,QCM,Trouvez la règle de la série puis choisissez le terme suivant.,"1, 4, 9, 16, 25, ?",30,35,36,49,C,"Ce sont les carrés parfaits: 1²,2²,3²,4²,5², donc 6²=36.","1 point si réponse exacte, 0 sinon.",Induction de règles séquentielles,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-084,Raisonnement fluide,Séries numériques,1,50,QCM,Trouvez la règle de la série puis choisissez le terme suivant.,"81, 27, 9, 3, ?",1,0,6,-3,A,Chaque terme est divisé par 3.,"1 point si réponse exacte, 0 sinon.",Induction de règles séquentielles,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-085,Raisonnement fluide,Séries numériques,3,50,QCM,Trouvez la règle de la série puis choisissez le terme suivant.,"5, 7, 11, 19, 35, ?",51,63,65,67,D,"Les écarts doublent: +2,+4,+8,+16; ensuite +32, donc 67.","1 point si réponse exacte, 0 sinon.",Induction de règles séquentielles,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-086,Raisonnement fluide,Séries numériques,3,50,QCM,Trouvez la règle de la série puis choisissez le terme suivant.,"4, 9, 19, 39, 79, ?",149,159,160,169,B,Chaque terme = précédent×2 +1: 79×2+1=159.,"1 point si réponse exacte, 0 sinon.",Induction de règles séquentielles,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-087,Raisonnement fluide,Séries numériques,2,50,QCM,Trouvez la règle de la série puis choisissez le terme suivant.,"2, 3, 5, 9, 17, ?",25,31,33,35,C,"Les écarts sont +1,+2,+4,+8; ensuite +16, donc 33.","1 point si réponse exacte, 0 sinon.",Induction de règles séquentielles,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-088,Raisonnement fluide,Séries numériques,2,50,QCM,Trouvez la règle de la série puis choisissez le terme suivant.,"144, 121, 100, 81, ?",64,70,72,49,A,"Ce sont les carrés descendants: 12²,11²,10²,9², donc 8²=64.","1 point si réponse exacte, 0 sinon.",Induction de règles séquentielles,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-089,Raisonnement fluide,Séries numériques,1,50,QCM,Trouvez la règle de la série puis choisissez le terme suivant.,"1, 1, 2, 3, 5, 8, ?",10,11,12,13,D,Chaque terme est la somme des deux précédents.,"1 point si réponse exacte, 0 sinon.",Induction de règles séquentielles,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-090,Raisonnement fluide,Séries numériques,3,50,QCM,Trouvez la règle de la série puis choisissez le terme suivant.,"7, 10, 16, 28, 52, ?",92,100,104,108,B,"Les écarts doublent: +3,+6,+12,+24; ensuite +48, donc 100.","1 point si réponse exacte, 0 sinon.",Induction de règles séquentielles,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-091,Raisonnement fluide,Matrices logiques textuelles,3,55,QCM,Chaque ligne suit la même règle. Trouvez l'élément manquant.,"Lignes: [3, 4, 10], [5, 2, 12], [6, 7, ?]",17,18,19,20,C,Troisième nombre = 2×premier + deuxième: 2×6+7=19.,"1 point si réponse exacte, 0 sinon.",Induction analogique et relations abstraites,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-092,Raisonnement fluide,Matrices logiques textuelles,4,55,QCM,Chaque ligne suit la même règle. Trouvez l'élément manquant.,"Lignes: [2, 3, 13], [1, 4, 17], [3, 5, ?]",25,29,32,34,D,Troisième nombre = carré du premier + carré du deuxième: 3²+5²=34.,"1 point si réponse exacte, 0 sinon.",Induction analogique et relations abstraites,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-093,Raisonnement fluide,Matrices logiques textuelles,3,55,QCM,Chaque ligne suit la même règle. Trouvez l'élément manquant.,"Lignes: [A, C, F], [B, D, G], [C, E, ?]. Les lettres avancent de +2 puis +3.",G,H,I,J,B,C +2 = E; E +3 = H.,"1 point si réponse exacte, 0 sinon.",Induction analogique et relations abstraites,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-094,Raisonnement fluide,Matrices logiques textuelles,3,55,QCM,Chaque ligne suit la même règle. Trouvez l'élément manquant.,"Colonnes: haut [2, 4, 6], milieu [3, 6, 9], bas [5, 10, ?]. Dans chaque colonne, bas = haut + milieu.",12,14,15,18,C,La troisième colonne donne 6+9=15.,"1 point si réponse exacte, 0 sinon.",Induction analogique et relations abstraites,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-095,Raisonnement fluide,Matrices logiques textuelles,2,55,QCM,Chaque ligne suit la même règle. Trouvez l'élément manquant.,"Carrés: 4→9, 7→15, 10→?",21,20,19,18,A,Règle: sortie = 2×entrée +1; 10 donne 21.,"1 point si réponse exacte, 0 sinon.",Induction analogique et relations abstraites,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-096,Raisonnement fluide,Matrices logiques textuelles,1,55,QCM,Chaque ligne suit la même règle. Trouvez l'élément manquant.,"Triplets: (2,5,7), (4,1,5), (6,3,?) ; le troisième est la somme des deux premiers.",6,7,8,9,D,6+3=9.,"1 point si réponse exacte, 0 sinon.",Induction analogique et relations abstraites,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
RF-097,Raisonnement fluide,Matrices logiques textuelles,3,55,QCM,Chaque ligne suit la même règle. Trouvez l'élément manquant.,"Triplets: (3,2,12), (4,3,24), (5,4,?) ; troisième = premier × deuxième × 2.",30,36,40,45,C,5×4×2=40.,"1 point si réponse exacte, 0 sinon.",Induction analogique et relations abstraites,,https://www.pearsonclinical.fr/wais-iv; https://www.pearsonassessments.com/en-us/Store/Professional-Assessments/Cognition-%26-Neuro/Wechsler-Adult-Intelligence-Scale-%7C-Fifth-Edition/p/P100071002; https://www.pearsonassessments.com/content/dam/school/global/clinical/us/assets/wais-5/wais-5-overview-brochure.pdf,Item original pour entraînement/screening non clinique. Ne reproduit pas le WAIS et ne permet pas de calculer un QI clinique.
